pn,pe,pd,vn,ve,vd,an,ae,ad,roll,pitch,yaw,q0,q1,q2,q3,lat,lng,alt,sat,ax,ay,az,gx,gy,gz,mx,my,mz,baro_temp,baro_press,baro_alt,batt_voltage,batt_percent,launch_lat,launch_lng,launch_alt,system_status,system_time,rssi,snr,connection_status
1.182692289,-0.94891715,2.033708811,1.94407022,0.000565302,0.008031267,0.327756822,-0.284401536,0.337040782,3.112719059,0.114278644,2.933072329,0.058283083,0.103126146,0.993103325,0.008398348,39.39009094,-8.289384842,218301,9,-0.013481,0.072346002,-0.894442976,-0.560000002,2.170000076,0.0175,-0.689099014,0.104069516,1.276397347,28.04999924,100040,1.933121562,4042,83,39.39009476,-8.289378166,220749,2,935348,-110,8.25,TRUE
1.208572268,-0.958341241,2.017750502,2.016324282,-0.05535166,-0.146759644,0.230993345,-0.003980175,-0.021562576,3.113050699,0.125453934,2.932987928,0.063811339,0.103064783,0.992779136,0.007645775,39.39009094,-8.289384842,218338,9,-0.19971399,-0.026108,-1.06438899,-0.857500017,1.522500038,1.198750019,-0.686817765,0.103352048,1.266308188,28.05999947,100057,0.43784377,4042,83,39.39009476,-8.289378166,220749,2,935649,-106,7,TRUE
1.198111773,-0.93824935,2.030103683,2.015422821,-0.048802525,-0.135127127,0.260148287,-0.034859333,0.123805523,3.120182753,0.115729965,2.934224129,0.058600761,0.102842838,0.993412375,0.004655842,39.39009094,-8.289384842,218348,9,-0.105895996,0.0427,-1.096475005,3.753750086,-0.82249999,0.481249988,-0.693099558,0.104434013,1.280202031,28.04999924,100047,1.319038749,4040,82,39.39009476,-8.289378166,220749,2,935950,-110,7.5,TRUE
1.184941411,-0.943648458,2.036511183,1.943312168,-0.041350171,-0.134104401,0.231308207,-0.008637849,0.018949628,3.120260477,0.111269392,2.933982134,0.056397688,0.102919035,0.993260741,0.004835301,39.39009094,-8.289384842,218383,9,-0.104736999,0.056242,-0.955381989,3.946249962,-1.172500014,0.472499996,-0.687386751,0.103673995,1.27510941,28.04999924,100044,1.580643535,4039,82,39.39009476,-8.289378166,220749,2,936251,-110,8.75,TRUE
1.189587474,-0.937840283,2.03245163,1.943479657,-0.021888562,-0.163101494,0.216740698,0.003909767,-0.025865555,3.121213675,0.109840885,2.934431076,0.0556385,0.102734141,0.993324459,0.004448482,39.39009094,-8.289384842,218434,9,-0.101076998,0.045871999,-0.991249979,2.40625,0.446249992,0.306250006,-0.688243926,0.103755906,1.278119802,28.05999947,100027,3.075921297,4039,82,39.39009476,-8.289378166,220749,2,936551,-110,8.25,TRUE
1.203345418,-0.947873533,2.021346807,1.95869565,-0.025934376,-0.181417957,0.183811203,0.043997586,-0.084285438,3.120032072,0.108683117,2.934753656,0.055123687,0.102550194,0.993368328,0.005104627,39.39009094,-8.289384842,218487,9,-0.125294,0.003111,-1.036206961,-3.28125,3.902499914,0.568750024,-0.679666281,0.10350696,1.279292107,28.02000046,100033,2.547204256,4040,82,39.39009476,-8.289378166,220749,2,936852,-108,8,TRUE
1.215108156,-0.955413997,2.000422478,1.966321826,-0.025067052,-0.201588452,0.219347268,-0.004662864,-5.76E-05,3.119539022,0.106776498,2.935283422,0.054200947,0.102289289,0.993444741,0.005462831,39.39009094,-8.289384842,218504,9,-0.110226996,0.048556,-1.015344977,-1.53125,1.846250057,0.463750005,-0.68453306,0.103008837,1.260775089,28.04999924,100028,2.98780179,4040,82,39.39009476,-8.289378166,220749,2,937153,-110,8.5,TRUE
1.227437854,-0.95883739,1.987036109,1.986256957,-0.01996723,-0.210592657,0.20289503,0.024977287,-0.02609849,3.118383408,0.105933353,2.935091734,0.053842045,0.102360383,0.993453383,0.006075516,39.39009094,-8.289384842,218548,9,-0.105774,0.037880998,-1.071892023,-3.648750067,4.304999828,0.787500024,-0.689108968,0.103018038,1.258063436,28.05999947,100039,2.02124095,4042,83,39.39009476,-8.289378166,220749,2,937454,-108,8,TRUE
1.247305512,-0.961755276,1.96794486,1.960960746,-0.03430789,-0.242522806,0.210477054,-0.000385603,-0.006844103,3.116356134,0.104919039,2.935339212,0.053441394,0.102191448,0.993483901,0.007141905,39.39009094,-8.289384842,218582,9,-0.092902996,0.044834998,-0.993201971,4.086249828,0.035,0.551249981,-0.682238281,0.103717081,1.285055995,28.03000069,100046,1.407158256,4042,83,39.39009476,-8.289378166,220749,2,937755,-108,8,TRUE
1.247516751,-0.967826128,1.945794821,1.929190159,-0.031097675,-0.255501509,0.215111077,-0.00199356,-0.051158488,3.117841244,0.104978375,2.935045004,0.053395893,0.102376744,0.99347198,0.006392956,39.39009094,-8.289384842,218618,9,-0.108640999,0.041175,-0.973254979,-3.631249905,3.745000124,0.586250007,-0.68195653,0.103279889,1.272729039,28.05999947,100043,1.668763041,4032,81,39.39009476,-8.289378166,220749,2,938057,-110,8.5,TRUE
